id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,country_name,iso_country,region_name,iso_region,local_region,municipality,scheduled_service,gps_code,icao_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
4341,LIME,large_airport,Il Caravaggio International Airport,45.669362,9.708851,782,EU,Italy,IT,Lombardy,IT-25,25,Orio al Serio (BG),1,LIME,LIME,BGY,BG01,http://www.sacbo.it/,https://en.wikipedia.org/wiki/Orio_al_Serio_International_Airport,"Orio al Serio International Airport, Il Caravaggio International Airport, Milan Bergamo Airport",1050,2026-01-18T19:24:06+00:00
4490,LSGG,large_airport,Geneva International Airport,46.238098,6.10895,1411,EU,Switzerland,CH,Geneva,CH-GE,GE,Geneva,1,LSGG,LSGG,GVA,,https://www.gva.ch/,https://en.wikipedia.org/wiki/Geneva_Airport,Cointrin Airport,51275,2026-05-07T11:17:45+00:00
4431,LOWI,large_airport,Innsbruck Airport,47.260201,11.344,1907,EU,Austria,AT,Tyrol,AT-7,7,Innsbruck,1,LOWI,LOWI,INN,,http://www.innsbruck-airport.com/,https://en.wikipedia.org/wiki/Innsbruck_Airport,Kranebitten Airport,1000,2026-06-08T19:04:21+00:00
4340,LIMC,large_airport,Milan Malpensa International Airport,45.6306,8.72811,768,EU,Italy,IT,Lombardy,IT-25,25,Ferno (VA),1,LIMC,LIMC,MXP,MI12,http://www.sea-aeroportimilano.it/en/malpensa/index.phtml,https://en.wikipedia.org/wiki/Malpensa_Airport,"MIL, Silvio Berlusconi",1019475,2025-02-21T16:54:32+00:00
4505,LSZH,large_airport,Zürich Airport,47.458056,8.548056,1417,EU,Switzerland,CH,Zürich,CH-ZH,ZH,Zurich,1,LSZH,LSZH,ZRH,,http://www.zurich-airport.com/,https://en.wikipedia.org/wiki/Zurich_Airport,,1025475,2026-05-04T09:34:12+00:00
4137,LFLL,large_airport,Lyon Saint-Exupéry Airport,45.725996,5.090139,821,EU,France,FR,Auvergne-Rhône-Alpes,FR-ARA,ARA,"Colombier-Saugnieu, Rhône",1,LFLL,LFLL,LYS,,https://www.lyonaeroports.com/,https://en.wikipedia.org/wiki/Lyon%E2%80%93Saint-Exup%C3%A9ry_Airport,"Lyon, Saint-Exupéry, Satolas",1000,2024-08-01T13:01:28+00:00
4368,LIPZ,large_airport,Venice Marco Polo Airport,45.505299,12.3519,7,EU,Italy,IT,Veneto,IT-34,34,Venezia (VE),1,LIPZ,LIPZ,VCE,VE05,http://www.veniceairport.com/core/index.jsp?_requestid=37300&language=en,https://en.wikipedia.org/wiki/Venice_Marco_Polo_Airport,"Venezia-Tessera, Venice-Tessera",1000,2023-12-01T09:26:14+00:00
4366,LIPX,large_airport,Verona Villafranca Valerio Catullo Airport,45.394955,10.887303,239,EU,Italy,IT,Veneto,IT-34,34,Caselle (VR),1,LIPX,LIPX,VRN,VR10,http://www.aeroportoverona.it/,https://en.wikipedia.org/wiki/Verona_Airport,"Valerio Catullo, Villafranca International Airport, Valerio Catullo Airport, Villafranca Airport",1000,2023-12-02T21:51:28+00:00
123,BIKF,large_airport,Keflavik International Airport,63.985001,-22.6056,171,EU,Iceland,IS,Southern Peninsula,IS-2,2,Reykjavík,1,BIKF,BIKF,KEF,,https://www.isavia.is/en/keflavik-airport,https://en.wikipedia.org/wiki/Keflav%C3%ADk_International_Airport,"Keflavik Naval Air Station, REK",1675,2025-12-14T18:19:24+00:00
2570,ENBR,large_airport,"Bergen Airport, Flesland",60.2934,5.21814,170,EU,Norway,NO,Vestland,NO-46,46,Bergen,1,ENBR,ENBR,BGO,,http://www.avinor.no/en/airport/bergen,https://en.wikipedia.org/wiki/Bergen_Airport%2C_Flesland,,1275,2021-10-02T10:38:00+00:00
